scam_type,sender_state,complaint_status,bank_id,complaint_count,total_loss,avg_loss,min_loss,max_loss,avg_resolution_days,min_resolution_days,max_resolution_days,affected_users,linked_txns,total_loss_lakhs,avg_loss_k
KYC,Haryana,RESOLVED,INDUS010,2,4520.09,2260.045,500.0,4020.09,57.0,44.0,70.0,2,2,0.05,2.26
KYC,Uttarakhand,ESCALATED,BOB007,1,3700.0,3700.0,3700.0,3700.0,,,,1,1,0.04,3.7
LOTTERY,Bihar,ESCALATED,ICICI003,2,11800.0,5900.0,4900.0,6900.0,,,,2,2,0.12,5.9
KYC,Himachal Pradesh,OPEN,UNION009,1,731.82,731.82,731.82,731.82,,,,1,1,0.01,0.73
JOB,Uttar Pradesh,RESOLVED,UNION009,1,1388.91,1388.91,1388.91,1388.91,75.0,75.0,75.0,1,1,0.01,1.39
JOB,Delhi,RESOLVED,CANARA008,2,3671.0699999999997,1835.5349999999999,1471.07,2200.0,49.0,38.0,60.0,2,2,0.04,1.84
JOB,Bihar,OPEN,AXIS004,2,3976.2200000000003,1988.1100000000001,1111.11,2865.11,,,,2,2,0.04,1.99
LEGITIMATE,Andhra Pradesh,RESOLVED,HDFC002,1,1254.53,1254.53,1254.53,1254.53,85.0,85.0,85.0,1,1,0.01,1.25
JOB,Rajasthan,RESOLVED,PNB006,1,4603.61,4603.61,4603.61,4603.61,73.0,73.0,73.0,1,1,0.05,4.6
IMPERSONATION,Kerala,RESOLVED,ICICI003,1,22625.99,22625.99,22625.99,22625.99,29.0,29.0,29.0,1,1,0.23,22.63
IMPERSONATION,Kerala,ESCALATED,INDUS010,1,2773.83,2773.83,2773.83,2773.83,,,,1,1,0.03,2.77
LOTTERY,Gujarat,ESCALATED,CANARA008,1,6000.0,6000.0,6000.0,6000.0,,,,1,1,0.06,6.0
LEGITIMATE,Telangana,ESCALATED,CANARA008,1,738.21,738.21,738.21,738.21,,,,1,1,0.01,0.74
TECH_SUPPORT,Maharashtra,RESOLVED,BOB007,1,3689.79,3689.79,3689.79,3689.79,51.0,51.0,51.0,1,1,0.04,3.69
IMPERSONATION,Uttar Pradesh,OPEN,UNION009,4,28138.67,7034.6675,2220.94,16200.0,,,,4,4,0.28,7.03
JOB,Uttarakhand,ESCALATED,UNION009,1,1417.63,1417.63,1417.63,1417.63,,,,1,1,0.01,1.42
LOTTERY,Jharkhand,RESOLVED,UNION009,1,1800.0,1800.0,1800.0,1800.0,12.0,12.0,12.0,1,1,0.02,1.8
EMERGENCY,Assam,OPEN,HDFC002,1,18100.0,18100.0,18100.0,18100.0,,,,1,1,0.18,18.1
LEGITIMATE,Rajasthan,RESOLVED,KOTAK005,1,776.52,776.52,776.52,776.52,5.0,5.0,5.0,1,1,0.01,0.78
TECH_SUPPORT,Assam,ESCALATED,KOTAK005,1,2820.87,2820.87,2820.87,2820.87,,,,1,1,0.03,2.82
INVESTMENT,Telangana,OPEN,KOTAK005,1,10300.0,10300.0,10300.0,10300.0,,,,1,1,0.1,10.3
LEGITIMATE,Andhra Pradesh,RESOLVED,INDUS010,1,803.58,803.58,803.58,803.58,44.0,44.0,44.0,1,1,0.01,0.8
LOTTERY,Jharkhand,OPEN,KOTAK005,1,3500.0,3500.0,3500.0,3500.0,,,,1,1,0.04,3.5
LOTTERY,Haryana,OPEN,HDFC002,2,14853.220000000001,7426.610000000001,6090.29,8762.93,,,,2,2,0.15,7.43
TECH_SUPPORT,Bihar,RESOLVED,BOB007,1,2977.61,2977.61,2977.61,2977.61,22.0,22.0,22.0,1,1,0.03,2.98
INVESTMENT,Maharashtra,OPEN,AXIS004,1,100000.0,100000.0,100000.0,100000.0,,,,1,1,1.0,100.0
LOTTERY,Goa,RESOLVED,UNION009,1,17400.0,17400.0,17400.0,17400.0,60.0,60.0,60.0,1,1,0.17,17.4
KYC,Karnataka,RESOLVED,AXIS004,1,1400.0,1400.0,1400.0,1400.0,73.0,73.0,73.0,1,1,0.01,1.4
KYC,Goa,OPEN,KOTAK005,1,3200.0,3200.0,3200.0,3200.0,,,,1,1,0.03,3.2
KYC,Madhya Pradesh,RESOLVED,HDFC002,2,2316.62,1158.31,1000.0,1316.62,55.0,55.0,55.0,2,2,0.02,1.16
EMERGENCY,Telangana,RESOLVED,UNION009,1,7000.0,7000.0,7000.0,7000.0,41.0,41.0,41.0,1,1,0.07,7.0
KYC,Gujarat,ESCALATED,HDFC002,1,500.0,500.0,500.0,500.0,,,,1,1,0.01,0.5
IMPERSONATION,Gujarat,RESOLVED,KOTAK005,1,4900.0,4900.0,4900.0,4900.0,14.0,14.0,14.0,1,1,0.05,4.9
KYC,Manipur,ESCALATED,BOB007,1,1600.0,1600.0,1600.0,1600.0,,,,1,1,0.02,1.6
INVESTMENT,Rajasthan,RESOLVED,AXIS004,1,100000.0,100000.0,100000.0,100000.0,23.0,23.0,23.0,1,1,1.0,100.0
LEGITIMATE,Bihar,ESCALATED,HDFC002,1,6781.53,6781.53,6781.53,6781.53,,,,1,1,0.07,6.78
TECH_SUPPORT,Delhi,OPEN,PNB006,4,10799.64,2699.91,500.0,8400.0,,,,4,4,0.11,2.7
INVESTMENT,Tamil Nadu,OPEN,INDUS010,2,42073.13,21036.565,13973.13,28100.0,,,,2,2,0.42,21.04
KYC,Punjab,ESCALATED,PNB006,1,833.58,833.58,833.58,833.58,,,,1,1,0.01,0.83
KYC,Rajasthan,OPEN,INDUS010,4,4491.49,1122.8725,500.0,1924.19,,,,4,4,0.04,1.12
LOTTERY,Rajasthan,OPEN,CANARA008,6,47052.97,7842.161666666667,1000.0,25000.0,,,,6,6,0.47,7.84
KYC,Arunachal Pradesh,RESOLVED,ICICI003,1,1800.0,1800.0,1800.0,1800.0,74.0,74.0,74.0,1,1,0.02,1.8
JOB,Haryana,ESCALATED,KOTAK005,1,2169.87,2169.87,2169.87,2169.87,,,,1,1,0.02,2.17
LOTTERY,Jharkhand,OPEN,ICICI003,1,13622.27,13622.27,13622.27,13622.27,,,,1,1,0.14,13.62
JOB,Nagaland,RESOLVED,HDFC002,1,8000.0,8000.0,8000.0,8000.0,28.0,28.0,28.0,1,1,0.08,8.0
KYC,Kerala,OPEN,INDUS010,2,4316.79,2158.395,1616.79,2700.0,,,,2,2,0.04,2.16
IMPERSONATION,Delhi,ESCALATED,AXIS004,1,7395.51,7395.51,7395.51,7395.51,,,,1,1,0.07,7.4
LOTTERY,Delhi,OPEN,UNION009,4,49594.259999999995,12398.564999999999,2667.72,25000.0,,,,4,4,0.5,12.4
INVESTMENT,Uttar Pradesh,RESOLVED,SBI001,1,14900.0,14900.0,14900.0,14900.0,29.0,29.0,29.0,1,1,0.15,14.9
IMPERSONATION,Telangana,RESOLVED,HDFC002,1,13900.0,13900.0,13900.0,13900.0,46.0,46.0,46.0,1,1,0.14,13.9
LOTTERY,Tamil Nadu,ESCALATED,UNION009,2,19870.48,9935.24,3776.28,16094.2,,,,2,2,0.2,9.94
TECH_SUPPORT,Madhya Pradesh,OPEN,UNION009,2,13401.560000000001,6700.780000000001,6401.56,7000.0,,,,2,2,0.13,6.7
EMERGENCY,Maharashtra,OPEN,KOTAK005,2,53100.0,26550.0,3100.0,50000.0,,,,2,2,0.53,26.55
KYC,Karnataka,OPEN,UNION009,10,24364.22,2436.422,566.86,5000.0,,,,10,10,0.24,2.44
IMPERSONATION,Telangana,OPEN,ICICI003,3,11975.7,3991.9,2000.0,6975.7,,,,3,3,0.12,3.99
KYC,Arunachal Pradesh,ESCALATED,AXIS004,1,2100.0,2100.0,2100.0,2100.0,,,,1,1,0.02,2.1
TECH_SUPPORT,Maharashtra,OPEN,UNION009,6,27294.21,4549.035,500.0,10000.0,,,,6,6,0.27,4.55
LOTTERY,Uttar Pradesh,OPEN,HDFC002,8,47584.27,5948.03375,1747.89,12882.6,,,,8,8,0.48,5.95
KYC,Telangana,OPEN,CANARA008,6,7257.91,1209.6516666666666,600.0,2241.45,,,,6,6,0.07,1.21
KYC,Rajasthan,RESOLVED,BOB007,2,2200.0,1100.0,700.0,1500.0,60.0,44.0,76.0,2,2,0.02,1.1
KYC,Rajasthan,ESCALATED,CANARA008,3,5567.889999999999,1855.9633333333331,1280.03,2980.04,,,,3,3,0.06,1.86
KYC,Maharashtra,RESOLVED,ICICI003,7,16694.79,2384.9700000000003,1100.0,4834.29,43.142857142857146,5.0,87.0,7,7,0.17,2.38
KYC,West Bengal,ESCALATED,BOB007,2,7946.0599999999995,3973.0299999999997,2946.06,5000.0,,,,2,2,0.08,3.97
IMPERSONATION,Maharashtra,OPEN,CANARA008,1,9600.0,9600.0,9600.0,9600.0,,,,1,1,0.1,9.6
LOTTERY,Delhi,ESCALATED,ICICI003,3,12000.0,4000.0,2500.0,6200.0,,,,3,3,0.12,4.0
IMPERSONATION,West Bengal,OPEN,BOB007,2,54436.14,27218.07,4436.14,50000.0,,,,2,2,0.54,27.22
IMPERSONATION,Maharashtra,RESOLVED,UNION009,3,9532.81,3177.603333333333,2332.81,4800.0,43.0,34.0,49.0,3,3,0.1,3.18
LEGITIMATE,Maharashtra,RESOLVED,AXIS004,2,1762.5100000000002,881.2550000000001,683.88,1078.63,74.0,74.0,74.0,2,2,0.02,0.88
TECH_SUPPORT,Delhi,RESOLVED,BOB007,1,6400.0,6400.0,6400.0,6400.0,49.0,49.0,49.0,1,1,0.06,6.4
KYC,Gujarat,OPEN,UNION009,8,15036.250000000002,1879.5312500000002,738.58,5000.0,,,,8,8,0.15,1.88
TECH_SUPPORT,Karnataka,OPEN,HDFC002,4,6048.16,1512.04,600.0,2300.0,,,,4,4,0.06,1.51
LOTTERY,Karnataka,OPEN,PNB006,9,38973.43,4330.381111111111,1000.0,8297.55,,,,9,9,0.39,4.33
IMPERSONATION,Punjab,RESOLVED,CANARA008,1,2000.0,2000.0,2000.0,2000.0,45.0,45.0,45.0,1,1,0.02,2.0
LOTTERY,Tamil Nadu,OPEN,SBI001,5,51184.130000000005,10236.826000000001,2785.25,25000.0,,,,5,5,0.51,10.24
LOTTERY,West Bengal,ESCALATED,HDFC002,3,24800.0,8266.666666666666,1200.0,15300.0,,,,3,3,0.25,8.27
INVESTMENT,Delhi,ESCALATED,INDUS010,1,6688.5,6688.5,6688.5,6688.5,,,,1,1,0.07,6.69
LEGITIMATE,Meghalaya,OPEN,BOB007,2,8254.45,4127.225,222.07,8032.38,,,,2,2,0.08,4.13
LOTTERY,Karnataka,OPEN,AXIS004,3,36173.14,12057.713333333333,2300.0,25000.0,,,,3,3,0.36,12.06
LOTTERY,Delhi,OPEN,SBI001,4,32374.59,8093.6475,3171.36,18721.28,,,,4,4,0.32,8.09
LOTTERY,Chhattisgarh,OPEN,KOTAK005,1,5073.74,5073.74,5073.74,5073.74,,,,1,1,0.05,5.07
JOB,Delhi,OPEN,UNION009,1,3027.65,3027.65,3027.65,3027.65,,,,1,1,0.03,3.03
LOTTERY,Tripura,OPEN,ICICI003,1,6125.35,6125.35,6125.35,6125.35,,,,1,1,0.06,6.13
TECH_SUPPORT,Madhya Pradesh,OPEN,HDFC002,3,8962.03,2987.3433333333337,1741.07,4293.96,,,,3,3,0.09,2.99
INVESTMENT,Telangana,ESCALATED,KOTAK005,1,98966.63,98966.63,98966.63,98966.63,,,,1,1,0.99,98.97
KYC,Madhya Pradesh,ESCALATED,BOB007,1,600.0,600.0,600.0,600.0,,,,1,1,0.01,0.6
KYC,Odisha,RESOLVED,HDFC002,1,1057.43,1057.43,1057.43,1057.43,82.0,82.0,82.0,1,1,0.01,1.06
IMPERSONATION,Uttar Pradesh,OPEN,SBI001,2,15461.07,7730.535,2000.0,13461.07,,,,2,2,0.15,7.73
TECH_SUPPORT,Maharashtra,OPEN,PNB006,5,25167.57,5033.514,1913.68,7300.0,,,,5,5,0.25,5.03
EMERGENCY,Punjab,ESCALATED,ICICI003,1,3840.64,3840.64,3840.64,3840.64,,,,1,1,0.04,3.84
JOB,Telangana,RESOLVED,PNB006,2,8613.36,4306.68,3213.36,5400.0,16.0,6.0,26.0,2,2,0.09,4.31
LOTTERY,Jharkhand,OPEN,CANARA008,1,11289.54,11289.54,11289.54,11289.54,,,,1,1,0.11,11.29
JOB,Rajasthan,OPEN,BOB007,3,13291.11,4430.37,1091.11,8000.0,,,,3,3,0.13,4.43
LEGITIMATE,Punjab,ESCALATED,UNION009,1,149.71,149.71,149.71,149.71,,,,1,1,0.0,0.15
LOTTERY,Tripura,RESOLVED,HDFC002,2,15601.34,7800.67,5701.34,9900.0,33.5,14.0,53.0,2,2,0.16,7.8
TECH_SUPPORT,Tamil Nadu,OPEN,INDUS010,2,3500.0,1750.0,1700.0,1800.0,,,,2,2,0.04,1.75
EMERGENCY,Kerala,OPEN,AXIS004,1,23000.0,23000.0,23000.0,23000.0,,,,1,1,0.23,23.0
KYC,Delhi,OPEN,AXIS004,7,14542.54,2077.5057142857145,1000.0,5000.0,,,,7,7,0.15,2.08
LEGITIMATE,Tamil Nadu,OPEN,HDFC002,3,26492.63,8830.876666666667,511.24,22867.79,,,,3,3,0.26,8.83
LEGITIMATE,Karnataka,ESCALATED,SBI001,1,3584.76,3584.76,3584.76,3584.76,,,,1,1,0.04,3.58
LOTTERY,Telangana,RESOLVED,BOB007,2,6756.0599999999995,3378.0299999999997,1356.06,5400.0,37.5,3.0,72.0,2,2,0.07,3.38
TECH_SUPPORT,Haryana,OPEN,PNB006,2,3679.14,1839.57,500.0,3179.14,,,,2,2,0.04,1.84
KYC,Gujarat,RESOLVED,AXIS004,3,3841.85,1280.6166666666666,941.85,1500.0,51.666666666666664,39.0,74.0,3,3,0.04,1.28
LEGITIMATE,Tamil Nadu,ESCALATED,AXIS004,3,5910.08,1970.0266666666666,240.23,2860.56,,,,3,3,0.06,1.97
KYC,Maharashtra,ESCALATED,HDFC002,3,4047.12,1349.04,900.0,2101.02,,,,3,3,0.04,1.35
TECH_SUPPORT,Gujarat,OPEN,SBI001,2,5000.0,2500.0,800.0,4200.0,,,,2,2,0.05,2.5
TECH_SUPPORT,Kerala,RESOLVED,BOB007,2,5853.67,2926.835,2000.0,3853.67,20.0,19.0,21.0,2,2,0.06,2.93
