txn_hour,txn_dow,sender_state,total_txns,fraud_txns,total_amount,avg_amount,vpn_count,new_device_count,fraud_rate_pct,day_name
18,2,Punjab,70,1,335955.37000000005,4799.3624285714295,1,7,1.43,Monday
18,3,Punjab,81,3,182273.43999999992,2250.2893827160483,1,7,3.7,Tuesday
6,5,West Bengal,46,2,117965.96000000002,2564.477391304348,2,5,4.35,Thursday
21,1,Jharkhand,38,4,172199.35999999996,4531.562105263157,2,5,10.53,Sunday
15,7,Punjab,37,1,163236.25999999998,4411.79081081081,1,0,2.7,Saturday
6,7,Haryana,19,1,41271.94,2172.2073684210527,0,2,5.26,Saturday
14,5,Assam,7,0,9780.09,1397.1557142857143,0,0,0.0,Thursday
8,7,Karnataka,61,8,337495.1699999999,5532.707704918032,3,10,13.11,Saturday
12,5,West Bengal,47,2,116865.49999999999,2486.4999999999995,0,6,4.26,Thursday
16,6,Jharkhand,15,1,36922.409999999996,2461.4939999999997,0,1,6.67,Friday
10,3,Chhattisgarh,9,0,141248.68,15694.297777777778,0,1,0.0,Tuesday
9,6,Chhattisgarh,11,1,31285.55,2844.140909090909,0,3,9.09,Friday
14,7,Punjab,24,2,57424.18000000001,2392.674166666667,0,1,8.33,Saturday
13,2,Punjab,22,0,48624.469999999994,2210.2031818181817,1,1,0.0,Monday
11,2,Delhi,48,1,257457.80000000005,5363.704166666667,1,3,2.08,Monday
7,3,Madhya Pradesh,29,0,43799.83,1510.3389655172414,2,5,0.0,Tuesday
6,1,Punjab,20,1,40869.63999999999,2043.4819999999995,1,0,5.0,Sunday
9,7,Bihar,22,2,67681.24,3076.42,0,3,9.09,Saturday
15,1,Rajasthan,38,0,54303.20000000001,1429.0315789473686,0,3,0.0,Sunday
14,7,Chhattisgarh,7,0,19226.66,2746.6657142857143,0,4,0.0,Saturday
18,1,Bihar,35,0,60263.200000000004,1721.8057142857144,0,3,0.0,Sunday
17,4,Haryana,32,0,89064.53,2783.2665625,1,1,0.0,Wednesday
16,5,Chhattisgarh,10,2,20584.370000000003,2058.4370000000004,1,4,20.0,Thursday
20,3,Meghalaya,12,0,52216.57000000001,4351.380833333334,0,2,0.0,Tuesday
12,2,Delhi,57,3,242419.72999999998,4252.977719298246,0,8,5.26,Monday
9,2,Jharkhand,14,0,82830.29000000001,5916.449285714286,0,2,0.0,Monday
16,1,West Bengal,36,1,76025.37999999999,2111.816111111111,3,1,2.78,Sunday
16,5,Odisha,13,0,81366.25,6258.942307692308,0,0,0.0,Thursday
18,2,Odisha,44,0,113102.71,2570.5161363636366,1,8,0.0,Monday
18,5,Uttarakhand,26,1,94481.01,3633.8849999999998,2,6,3.85,Thursday
21,2,Haryana,63,8,146139.28,2319.6711111111113,0,14,12.7,Monday
15,3,Haryana,17,0,64698.63999999999,3805.802352941176,1,1,0.0,Tuesday
17,2,Rajasthan,36,1,145264.22,4035.117222222222,0,6,2.78,Monday
15,1,Haryana,23,2,115120.36999999998,5005.233478260869,0,5,8.7,Sunday
16,1,Madhya Pradesh,27,0,145339.41999999995,5382.94148148148,0,0,0.0,Sunday
16,7,Jharkhand,24,0,87435.16999999998,3643.1320833333325,1,1,0.0,Saturday
22,7,Haryana,8,8,60323.86,7540.4825,2,3,100.0,Saturday
7,6,West Bengal,30,2,132799.8,4426.66,2,3,6.67,Friday
19,7,Uttarakhand,26,3,61560.43,2367.708846153846,2,4,11.54,Saturday
14,4,Uttarakhand,9,0,18629.89,2069.987777777778,0,4,0.0,Wednesday
7,4,Andhra Pradesh,23,2,91826.82,3992.470434782609,2,4,8.7,Wednesday
17,6,Odisha,26,1,154411.40999999997,5938.900384615384,2,4,3.85,Friday
20,3,Goa,10,1,27390.239999999998,2739.024,0,2,10.0,Tuesday
8,7,West Bengal,32,0,83976.26000000002,2624.2581250000007,0,1,0.0,Saturday
22,1,Tripura,3,3,46134.62,15378.206666666667,1,2,100.0,Sunday
11,1,Himachal Pradesh,7,0,20241.62,2891.66,0,0,0.0,Sunday
13,4,Jharkhand,19,0,38717.47,2037.7615789473684,2,2,0.0,Wednesday
22,7,Chhattisgarh,3,3,22763.25,7587.75,0,2,100.0,Saturday
7,2,Meghalaya,5,0,11756.25,2351.25,0,1,0.0,Monday
10,6,Chhattisgarh,10,0,29522.77,2952.277,0,1,0.0,Friday
19,4,Uttarakhand,25,0,35079.88999999999,1403.1955999999998,2,2,0.0,Wednesday
15,1,Kerala,33,1,92367.29000000001,2799.008787878788,1,5,3.03,Sunday
7,7,Madhya Pradesh,36,0,134695.46,3741.5405555555553,3,1,0.0,Saturday
10,5,Madhya Pradesh,36,0,85079.11,2363.308611111111,0,3,0.0,Thursday
17,2,Andhra Pradesh,30,0,230232.06999999995,7674.402333333332,0,2,0.0,Monday
16,2,Himachal Pradesh,11,1,16959.179999999997,1541.7436363636361,1,0,9.09,Monday
8,2,Maharashtra,103,8,409111.6,3971.957281553398,2,12,7.77,Monday
19,3,Tripura,7,0,29860.01,4265.715714285714,0,1,0.0,Tuesday
21,5,Odisha,50,10,230764.18000000002,4615.283600000001,3,9,20.0,Thursday
17,3,Bihar,8,0,42221.28,5277.66,1,1,0.0,Tuesday
12,3,Uttarakhand,9,0,68006.95999999999,7556.328888888888,0,1,0.0,Tuesday
9,5,Punjab,12,1,79188.15,6599.0125,1,1,8.33,Thursday
22,2,Delhi,27,26,244930.23999999996,9071.49037037037,5,17,96.3,Monday
9,7,Meghalaya,6,1,4951.96,825.3266666666667,1,1,16.67,Saturday
13,2,Meghalaya,4,0,5660.01,1415.0025,0,1,0.0,Monday
13,1,Kerala,17,0,172800.77,10164.751176470587,1,1,0.0,Sunday
6,2,Mizoram,5,0,18880.22,3776.0440000000003,0,0,0.0,Monday
11,1,Nagaland,2,0,2352.06,1176.03,0,0,0.0,Sunday
10,2,Uttarakhand,14,0,72946.79999999999,5210.485714285714,0,3,0.0,Monday
17,6,Uttarakhand,5,0,12032.9,2406.58,0,3,0.0,Friday
15,7,Goa,3,0,36532.19,12177.396666666667,0,0,0.0,Saturday
6,5,Himachal Pradesh,12,0,46972.079999999994,3914.3399999999997,0,0,0.0,Thursday
22,5,Chhattisgarh,4,4,36979.44,9244.86,0,3,100.0,Thursday
7,1,Mizoram,8,1,85441.97,10680.24625,0,1,12.5,Sunday
11,4,Mizoram,2,0,164.87,82.435,0,0,0.0,Wednesday
16,2,Goa,8,1,7994.800000000001,999.3500000000001,0,2,12.5,Monday
14,1,Odisha,19,0,40849.76,2149.987368421053,0,2,0.0,Sunday
22,5,Punjab,15,15,65937.72,4395.848,2,8,100.0,Thursday
7,5,Manipur,3,0,14461.55,4820.516666666666,0,1,0.0,Thursday
16,6,Manipur,3,0,2676.56,892.1866666666666,0,1,0.0,Friday
10,7,Arunachal Pradesh,3,0,4766.5199999999995,1588.84,0,0,0.0,Saturday
11,4,Odisha,27,1,56200.940000000024,2081.5162962962972,1,5,3.7,Wednesday
10,2,Punjab,17,0,80142.09,4714.240588235294,1,2,0.0,Monday
10,1,Haryana,25,0,66208.02000000002,2648.320800000001,0,3,0.0,Sunday
10,5,Meghalaya,5,0,27187.37,5437.474,1,1,0.0,Thursday
13,5,Meghalaya,3,0,2732.92,910.9733333333334,0,0,0.0,Thursday
18,5,Himachal Pradesh,25,1,94287.03999999996,3771.4815999999987,1,4,4.0,Thursday
11,7,Arunachal Pradesh,6,1,8798.63,1466.4383333333333,0,1,16.67,Saturday
11,1,Mizoram,7,1,33530.060000000005,4790.008571428572,0,2,14.29,Sunday
8,6,Assam,5,1,62139.69,12427.938,0,1,20.0,Friday
22,3,Andhra Pradesh,10,10,65325.29,6532.529,2,7,100.0,Tuesday
10,3,Nagaland,4,0,3920.1899999999996,980.0474999999999,0,0,0.0,Tuesday
8,4,Tripura,1,0,769.74,769.74,0,0,0.0,Wednesday
15,1,Tripura,1,0,1517.25,1517.25,0,0,0.0,Sunday
8,3,Manipur,2,0,2891.67,1445.835,0,0,0.0,Tuesday
10,4,Manipur,4,0,13043.54,3260.885,0,0,0.0,Wednesday
15,2,Meghalaya,4,0,5952.389999999999,1488.0974999999999,0,0,0.0,Monday
9,1,Assam,5,0,28111.25,5622.25,0,0,0.0,Sunday
8,1,Manipur,2,0,6930.450000000001,3465.2250000000004,0,0,0.0,Sunday
14,5,Nagaland,3,0,5363.03,1787.6766666666665,0,0,0.0,Thursday
8,5,Himachal Pradesh,7,0,43943.64,6277.662857142857,0,1,0.0,Thursday
22,2,Jharkhand,5,5,40823.22,8164.644,0,3,100.0,Monday
11,4,Assam,6,0,5600.06,933.3433333333334,0,1,0.0,Wednesday
22,6,Uttarakhand,5,5,19516.04,3903.208,1,4,100.0,Friday
11,5,Tripura,2,0,2540.38,1270.19,0,0,0.0,Thursday
22,1,Andhra Pradesh,11,11,152167.68,13833.425454545453,1,7,100.0,Sunday
19,7,Manipur,6,0,12554.24,2092.3733333333334,0,0,0.0,Saturday
14,4,Odisha,12,1,31957.41,2663.1175,0,0,8.33,Wednesday
22,1,Odisha,8,8,27921.510000000002,3490.1887500000003,0,4,100.0,Sunday
13,3,Mizoram,4,1,17068.21,4267.0525,1,1,25.0,Tuesday
9,5,Nagaland,3,0,55790.77,18596.923333333332,0,0,0.0,Thursday
13,6,Manipur,2,0,2039.5900000000001,1019.7950000000001,0,0,0.0,Friday
18,5,Meghalaya,12,1,59257.490000000005,4938.124166666667,0,3,8.33,Thursday
15,4,Manipur,4,0,54101.03,13525.2575,0,0,0.0,Wednesday
22,5,Nagaland,1,1,1123.15,1123.15,0,0,100.0,Thursday
22,1,Arunachal Pradesh,1,1,4700.0,4700.0,1,1,100.0,Sunday
12,5,Meghalaya,3,1,3709.45,1236.4833333333333,0,2,33.33,Thursday
22,3,Meghalaya,2,2,15473.58,7736.79,0,1,100.0,Tuesday
6,6,Tripura,1,0,2379.21,2379.21,0,1,0.0,Friday
22,3,Manipur,3,3,9500.0,3166.6666666666665,1,3,100.0,Tuesday
9,6,Manipur,1,1,2144.84,2144.84,0,0,100.0,Friday
6,4,Mizoram,1,0,8692.48,8692.48,0,0,0.0,Wednesday
21,6,Odisha,67,8,274974.86999999994,4104.102537313432,6,10,11.94,Friday
21,7,Odisha,54,9,174646.57999999996,3234.195925925925,4,5,16.67,Saturday
21,2,Odisha,50,9,140626.44999999995,2812.528999999999,3,8,18.0,Monday
6,3,Odisha,17,0,68701.0,4041.235294117647,1,1,0.0,Tuesday
21,2,Assam,25,4,91428.62,3657.1448,2,3,16.0,Monday
20,2,Maharashtra,476,66,1589387.969999999,3339.0503571428553,11,58,13.87,Monday
19,2,Maharashtra,377,5,1377858.9999999995,3654.7984084880623,11,44,1.33,Monday
10,6,Karnataka,91,2,236558.03000000006,2599.5387912087917,3,9,2.2,Friday
20,4,Uttar Pradesh,200,24,947373.4699999997,4736.867349999999,7,25,12.0,Wednesday
21,7,Maharashtra,412,55,1752709.7799999986,4254.1499514563075,21,77,13.35,Saturday
6,1,Maharashtra,104,9,274877.31999999995,2643.0511538461533,3,18,8.65,Sunday
18,2,Telangana,191,5,651997.4499999998,3413.599214659685,3,15,2.62,Monday
9,6,Karnataka,96,4,439315.06,4576.198541666667,2,11,4.17,Friday
6,5,Karnataka,64,4,184591.47000000003,2884.2417187500005,3,9,6.25,Thursday
13,5,Jharkhand,19,0,27128.4,1427.8105263157895,1,2,0.0,Thursday
21,4,Jharkhand,59,9,157020.34000000008,2661.3616949152556,1,11,15.25,Wednesday
14,4,Gujarat,70,0,237530.42999999996,3393.2918571428568,1,3,0.0,Wednesday
22,6,Gujarat,27,26,148254.88000000003,5490.921481481483,4,19,96.3,Friday
19,6,Bihar,50,1,145228.3,2904.566,1,1,2.0,Friday
21,6,Bihar,50,4,182295.65999999997,3645.9131999999995,1,5,8.0,Friday
13,2,Bihar,18,2,80953.03,4497.390555555556,0,3,11.11,Monday
7,6,Karnataka,69,4,214340.53,3106.3844927536234,3,11,5.8,Friday
19,1,Telangana,171,3,582704.3899999999,3407.628011695906,0,19,1.75,Sunday
13,1,Karnataka,78,0,228517.73999999996,2929.7146153846147,0,5,0.0,Sunday
10,5,Maharashtra,156,7,534061.27,3423.4696794871797,6,12,4.49,Thursday
21,7,Madhya Pradesh,112,18,403857.82000000007,3605.8733928571432,5,17,16.07,Saturday
21,6,Madhya Pradesh,98,10,359258.6499999999,3665.9045918367337,2,9,10.2,Friday
11,5,Maharashtra,136,5,482947.1800000002,3551.0822058823546,2,12,3.68,Thursday
6,6,Rajasthan,30,0,90116.18,3003.8726666666666,1,6,0.0,Friday
19,6,Rajasthan,135,0,423881.11,3139.860074074074,2,14,0.0,Friday
10,3,Rajasthan,37,0,113854.17000000001,3077.13972972973,1,4,0.0,Tuesday
16,3,Tamil Nadu,64,6,306275.4599999999,4785.5540624999985,3,10,9.38,Tuesday
20,6,Punjab,79,11,359375.2800000001,4549.054177215191,3,16,13.92,Friday
21,4,Chhattisgarh,19,2,50966.090000000004,2682.4257894736843,2,1,10.53,Wednesday
13,2,Chhattisgarh,9,1,31859.85,3539.983333333333,0,0,11.11,Monday
20,6,Chhattisgarh,22,3,104937.46000000002,4769.884545454546,1,4,13.64,Friday
15,4,Telangana,76,4,225694.39999999997,2969.6631578947363,1,12,5.26,Wednesday
16,6,Telangana,76,3,335569.98000000004,4415.394473684211,1,11,3.95,Friday
8,3,Uttarakhand,6,0,7983.22,1330.5366666666666,0,1,0.0,Tuesday
21,5,Bihar,44,6,176491.38999999996,4011.1679545454535,2,6,13.64,Thursday
18,5,Kerala,62,2,173220.14000000004,2793.8732258064524,2,5,3.23,Thursday
10,2,Madhya Pradesh,35,2,97391.24000000002,2782.6068571428577,0,3,5.71,Monday
20,7,Maharashtra,478,61,1754677.6400000015,3670.8737238493754,17,73,12.76,Saturday
12,7,Tamil Nadu,75,6,186697.34,2489.297866666667,2,7,8.0,Saturday
15,5,Delhi,49,1,95244.80000000002,1943.771428571429,1,5,2.04,Thursday
19,2,Karnataka,250,8,810179.6700000004,3240.7186800000018,7,22,3.2,Monday
21,7,Haryana,78,16,352617.64,4520.738974358975,6,20,20.51,Saturday
20,7,Gujarat,233,27,721904.6200000002,3098.303090128756,8,39,11.59,Saturday
19,1,Uttar Pradesh,163,3,528387.2600000001,3241.6396319018413,4,19,1.84,Sunday
18,6,Gujarat,184,5,623952.48,3391.046086956522,4,16,2.72,Friday
19,5,Gujarat,212,3,808732.93,3814.7779716981136,6,14,1.42,Thursday
21,1,Odisha,51,6,414197.6900000001,8121.523333333335,3,6,11.76,Sunday
18,7,Gujarat,198,3,518966.35999999987,2621.0422222222214,2,20,1.52,Saturday
12,5,Maharashtra,150,4,562027.5099999997,3746.8500666666646,3,17,2.67,Thursday
16,2,Andhra Pradesh,33,1,120151.84999999999,3640.9651515151513,5,5,3.03,Monday
9,6,Andhra Pradesh,34,2,94514.45999999999,2779.8370588235293,3,5,5.88,Friday
19,2,Rajasthan,117,3,394460.0099999999,3371.453076923076,1,16,2.56,Monday
10,4,Rajasthan,46,5,172380.66999999998,3747.405869565217,1,10,10.87,Wednesday
17,5,Delhi,71,5,176353.78999999995,2483.8561971830977,3,6,7.04,Thursday
11,6,Telangana,71,2,202501.59,2852.135070422535,2,10,2.82,Friday
7,3,Nagaland,3,0,2044.34,681.4466666666666,0,1,0.0,Tuesday
19,3,Gujarat,203,2,621747.8299999997,3062.797192118225,5,11,0.99,Tuesday
21,2,Delhi,183,23,538533.5200000003,2942.8061202185804,6,30,12.57,Monday
7,2,Delhi,39,1,73393.37000000001,1881.8812820512824,1,4,2.56,Monday
12,4,Delhi,54,0,103640.39000000001,1919.2664814814818,1,3,0.0,Wednesday
11,7,Telangana,76,3,436564.04,5744.263684210526,2,3,3.95,Saturday
14,2,Maharashtra,132,5,564323.6900000001,4275.17946969697,4,10,3.79,Monday
17,6,Telangana,79,3,273896.8299999999,3467.048481012657,2,7,3.8,Friday
14,3,Madhya Pradesh,32,1,72913.98000000003,2278.561875000001,2,3,3.13,Tuesday
22,7,West Bengal,20,19,100758.77,5037.9385,5,7,95.0,Saturday
8,4,Andhra Pradesh,32,2,58589.08,1830.90875,1,4,6.25,Wednesday
12,7,Andhra Pradesh,38,1,126300.26000000001,3323.691052631579,0,3,2.63,Saturday
13,1,Andhra Pradesh,24,5,81032.70999999999,3376.3629166666665,1,5,20.83,Sunday
15,6,Andhra Pradesh,35,2,109326.8,3123.6228571428574,1,6,5.71,Friday
14,2,Karnataka,108,5,389689.46,3608.2357407407408,2,11,4.63,Monday
9,5,Telangana,70,3,236130.63999999998,3373.294857142857,3,9,4.29,Thursday
17,1,Kerala,32,2,141451.09,4420.3465625,0,1,6.25,Sunday
11,6,Madhya Pradesh,40,2,145193.36000000002,3629.8340000000003,0,5,5.0,Friday
12,1,Bihar,14,1,31791.44,2270.8171428571427,0,2,7.14,Sunday
17,1,Assam,6,0,7116.010000000001,1186.0016666666668,0,2,0.0,Sunday
17,2,Assam,13,3,38042.560000000005,2926.3507692307694,1,6,23.08,Monday
21,4,Haryana,86,10,331890.75,3859.1947674418607,2,15,11.63,Wednesday
21,5,Andhra Pradesh,98,6,327243.7799999999,3339.2222448979583,5,8,6.12,Thursday
17,4,Assam,7,0,10154.150000000001,1450.5928571428574,0,0,0.0,Wednesday
20,2,Assam,24,7,102937.08,4289.045,1,9,29.17,Monday
11,7,Assam,8,1,25250.739999999998,3156.3424999999997,1,2,12.5,Saturday
17,5,Tamil Nadu,83,5,233372.29999999996,2811.714457831325,2,13,6.02,Thursday
15,5,Tamil Nadu,73,4,283324.39,3881.1560273972605,2,10,5.48,Thursday
9,6,Rajasthan,42,2,178966.47000000006,4261.10642857143,2,7,4.76,Friday
9,7,Rajasthan,55,1,107408.94,1952.8898181818183,0,3,1.82,Saturday
9,5,Meghalaya,9,1,8063.300000000001,895.9222222222223,1,0,11.11,Thursday
8,3,Meghalaya,6,1,32773.34,5462.223333333332,1,1,16.67,Tuesday
19,6,Arunachal Pradesh,17,0,52335.79,3078.5758823529413,0,2,0.0,Friday
16,3,West Bengal,45,1,102079.48000000003,2268.4328888888895,1,4,2.22,Tuesday
10,3,Meghalaya,8,0,22020.13,2752.51625,0,2,0.0,Tuesday
20,6,Meghalaya,11,1,20113.06,1828.46,0,1,9.09,Friday
17,7,Uttarakhand,9,0,13516.929999999998,1501.8811111111108,1,1,0.0,Saturday
15,6,Kerala,22,0,91049.15999999999,4138.598181818182,0,4,0.0,Friday
12,1,Uttar Pradesh,64,4,169759.99000000002,2652.4998437500003,3,8,6.25,Sunday
15,3,Madhya Pradesh,47,5,155040.46,3298.7331914893616,1,7,10.64,Tuesday
11,1,Maharashtra,110,2,622297.6499999998,5657.251363636362,1,12,1.82,Sunday
22,4,Andhra Pradesh,20,20,64084.18999999999,3204.2094999999995,3,10,100.0,Wednesday
21,3,Bihar,34,4,78659.43,2313.5126470588234,4,6,11.76,Tuesday
17,4,Uttar Pradesh,54,2,135241.22,2504.4670370370372,1,5,3.7,Wednesday
10,1,Punjab,14,0,23526.61,1680.472142857143,0,2,0.0,Sunday
18,1,Punjab,66,1,269595.3099999999,4084.7774242424225,3,7,1.52,Sunday
22,1,Jharkhand,6,6,31999.879999999997,5333.313333333333,2,3,100.0,Sunday
18,7,Jharkhand,50,1,168348.90999999995,3366.978199999999,1,3,2.0,Saturday
19,5,Jharkhand,43,1,93199.93,2167.4402325581395,1,5,2.33,Thursday
14,6,Punjab,26,1,175043.50999999998,6732.442692307692,0,2,3.85,Friday
6,6,West Bengal,33,2,92556.34000000001,2804.737575757576,1,6,6.06,Friday
14,6,Karnataka,83,0,371282.28000000014,4473.280481927713,1,7,0.0,Friday
10,5,Haryana,26,1,108138.5,4159.173076923077,1,2,3.85,Thursday
13,6,Chhattisgarh,6,0,29042.42,4840.403333333333,0,1,0.0,Friday
13,2,Madhya Pradesh,33,1,253422.85000000003,7679.480303030304,0,3,3.03,Monday
