scam_type,complaint_status,bank_id,sender_state,complaint_count,avg_resolution_days,min_resolution_days,max_resolution_days,total_amount_involved,affected_users,linked_txns,amount_involved_lakhs,avg_loss_per_user
IMPERSONATION,OPEN,HDFC002,Telangana,2,,,,44900.0,2,2,0.45,22450.0
IMPERSONATION,RESOLVED,KOTAK005,Kerala,1,30.0,30.0,30.0,2400.0,1,1,0.02,2400.0
LEGITIMATE,OPEN,PNB006,Rajasthan,3,,,,52087.340000000004,3,3,0.52,17362.0
JOB,OPEN,INDUS010,Gujarat,1,,,,4883.18,1,1,0.05,4883.0
JOB,RESOLVED,ICICI003,Jharkhand,1,79.0,79.0,79.0,3064.71,1,1,0.03,3065.0
KYC,ESCALATED,PNB006,Karnataka,2,,,,4983.16,2,2,0.05,2492.0
JOB,OPEN,UNION009,Karnataka,1,,,,1300.0,1,1,0.01,1300.0
LEGITIMATE,RESOLVED,CANARA008,Karnataka,3,25.333333333333332,16.0,36.0,5667.150000000001,3,3,0.06,1889.0
JOB,ESCALATED,CANARA008,West Bengal,1,,,,3021.76,1,1,0.03,3022.0
KYC,RESOLVED,CANARA008,Kerala,2,70.0,64.0,76.0,1200.0,2,2,0.01,600.0
LEGITIMATE,RESOLVED,SBI001,Tamil Nadu,1,46.0,46.0,46.0,263.07,1,1,0.0,263.0
JOB,OPEN,ICICI003,Assam,1,,,,5679.88,1,1,0.06,5680.0
INVESTMENT,OPEN,PNB006,Gujarat,1,,,,7950.54,1,1,0.08,7951.0
JOB,ESCALATED,INDUS010,Madhya Pradesh,1,,,,1900.0,1,1,0.02,1900.0
LOTTERY,ESCALATED,SBI001,Maharashtra,2,,,,11263.75,2,2,0.11,5632.0
JOB,RESOLVED,KOTAK005,Madhya Pradesh,1,15.0,15.0,15.0,2120.73,1,1,0.02,2121.0
INVESTMENT,RESOLVED,AXIS004,Karnataka,1,55.0,55.0,55.0,12500.0,1,1,0.13,12500.0
IMPERSONATION,RESOLVED,CANARA008,Manipur,1,16.0,16.0,16.0,3237.11,1,1,0.03,3237.0
LEGITIMATE,OPEN,PNB006,Telangana,1,,,,14725.37,1,1,0.15,14725.0
LOTTERY,RESOLVED,AXIS004,Assam,1,37.0,37.0,37.0,12600.0,1,1,0.13,12600.0
KYC,OPEN,UNION009,Meghalaya,2,,,,7200.0,2,2,0.07,3600.0
TECH_SUPPORT,RESOLVED,BOB007,Jharkhand,1,83.0,83.0,83.0,6100.0,1,1,0.06,6100.0
KYC,RESOLVED,BOB007,Telangana,1,22.0,22.0,22.0,4300.0,1,1,0.04,4300.0
INVESTMENT,OPEN,AXIS004,Telangana,1,,,,5000.0,1,1,0.05,5000.0
IMPERSONATION,RESOLVED,BOB007,Bihar,1,31.0,31.0,31.0,3400.0,1,1,0.03,3400.0
LEGITIMATE,OPEN,SBI001,Chhattisgarh,1,,,,938.88,1,1,0.01,939.0
IMPERSONATION,OPEN,KOTAK005,Telangana,1,,,,5112.56,1,1,0.05,5113.0
TECH_SUPPORT,OPEN,AXIS004,Delhi,1,,,,8327.38,1,1,0.08,8327.0
KYC,RESOLVED,CANARA008,Punjab,1,88.0,88.0,88.0,2200.0,1,1,0.02,2200.0
LOTTERY,RESOLVED,KOTAK005,Tamil Nadu,1,49.0,49.0,49.0,2736.04,1,1,0.03,2736.0
KYC,RESOLVED,ICICI003,Assam,1,63.0,63.0,63.0,766.22,1,1,0.01,766.0
KYC,OPEN,PNB006,Mizoram,1,,,,700.0,1,1,0.01,700.0
IMPERSONATION,OPEN,INDUS010,Haryana,1,,,,6930.73,1,1,0.07,6931.0
INVESTMENT,ESCALATED,UNION009,Kerala,1,,,,18400.0,1,1,0.18,18400.0
INVESTMENT,ESCALATED,CANARA008,Madhya Pradesh,1,,,,25901.66,1,1,0.26,25902.0
EMERGENCY,RESOLVED,SBI001,Karnataka,1,72.0,72.0,72.0,2000.0,1,1,0.02,2000.0
LOTTERY,RESOLVED,ICICI003,Gujarat,2,75.0,73.0,77.0,10568.36,2,2,0.11,5284.0
LEGITIMATE,ESCALATED,PNB006,Kerala,1,,,,892.29,1,1,0.01,892.0
LEGITIMATE,OPEN,INDUS010,Mizoram,1,,,,199.0,1,1,0.0,199.0
KYC,OPEN,BOB007,Bihar,1,,,,2700.0,1,1,0.03,2700.0
LOTTERY,ESCALATED,SBI001,Punjab,2,,,,34390.56,2,2,0.34,17195.0
TECH_SUPPORT,ESCALATED,BOB007,West Bengal,1,,,,1800.0,1,1,0.02,1800.0
EMERGENCY,OPEN,ICICI003,West Bengal,1,,,,26205.24,1,1,0.26,26205.0
EMERGENCY,OPEN,KOTAK005,Telangana,1,,,,2000.0,1,1,0.02,2000.0
LOTTERY,OPEN,HDFC002,Haryana,2,,,,14853.220000000001,2,2,0.15,7427.0
KYC,RESOLVED,ICICI003,Rajasthan,2,27.5,6.0,49.0,8300.0,2,2,0.08,4150.0
KYC,ESCALATED,UNION009,Maharashtra,8,,,,17006.27,8,8,0.17,2126.0
LEGITIMATE,RESOLVED,INDUS010,West Bengal,3,61.666666666666664,49.0,82.0,5537.08,3,3,0.06,1846.0
LEGITIMATE,OPEN,CANARA008,Madhya Pradesh,2,,,,22867.31,2,2,0.23,11434.0
LEGITIMATE,ESCALATED,UNION009,Punjab,1,,,,149.71,1,1,0.0,150.0
IMPERSONATION,OPEN,CANARA008,Haryana,1,,,,9945.58,1,1,0.1,9946.0
JOB,OPEN,PNB006,Uttar Pradesh,1,,,,900.0,1,1,0.01,900.0
LEGITIMATE,OPEN,KOTAK005,Madhya Pradesh,1,,,,273.69,1,1,0.0,274.0
IMPERSONATION,ESCALATED,HDFC002,Meghalaya,1,,,,2079.83,1,1,0.02,2080.0
TECH_SUPPORT,OPEN,CANARA008,Karnataka,4,,,,18592.58,4,4,0.19,4648.0
IMPERSONATION,ESCALATED,PNB006,West Bengal,1,,,,7625.09,1,1,0.08,7625.0
KYC,OPEN,INDUS010,Kerala,2,,,,4316.79,2,2,0.04,2158.0
TECH_SUPPORT,OPEN,INDUS010,Maharashtra,8,,,,19636.68,8,8,0.2,2455.0
LOTTERY,RESOLVED,INDUS010,West Bengal,1,45.0,45.0,45.0,2700.0,1,1,0.03,2700.0
LEGITIMATE,ESCALATED,CANARA008,Gujarat,2,,,,3445.06,2,2,0.03,1723.0
LEGITIMATE,OPEN,UNION009,Rajasthan,1,,,,488.01,1,1,0.0,488.0
INVESTMENT,OPEN,AXIS004,Madhya Pradesh,2,,,,127310.63,2,2,1.27,63655.0
KYC,OPEN,PNB006,Karnataka,6,,,,11757.119999999999,6,6,0.12,1960.0
LEGITIMATE,OPEN,HDFC002,Haryana,5,,,,5408.86,5,5,0.05,1082.0
LOTTERY,OPEN,INDUS010,Arunachal Pradesh,1,,,,18300.0,1,1,0.18,18300.0
JOB,OPEN,KOTAK005,Kerala,2,,,,9342.39,2,2,0.09,4671.0
KYC,OPEN,KOTAK005,Tamil Nadu,6,,,,14326.35,6,6,0.14,2388.0
TECH_SUPPORT,OPEN,CANARA008,Himachal Pradesh,1,,,,2268.38,1,1,0.02,2268.0
LEGITIMATE,OPEN,AXIS004,Karnataka,5,,,,4629.72,4,5,0.05,1157.0
LEGITIMATE,OPEN,KOTAK005,Telangana,2,,,,6796.55,2,2,0.07,3398.0
IMPERSONATION,OPEN,PNB006,Maharashtra,10,,,,74810.48,10,10,0.75,7481.0
LOTTERY,RESOLVED,PNB006,Uttar Pradesh,4,25.75,5.0,69.0,11519.45,4,4,0.12,2880.0
IMPERSONATION,RESOLVED,PNB006,Punjab,1,7.0,7.0,7.0,3811.68,1,1,0.04,3812.0
LOTTERY,OPEN,UNION009,Telangana,5,,,,25828.659999999996,5,5,0.26,5166.0
EMERGENCY,RESOLVED,SBI001,Delhi,1,71.0,71.0,71.0,2000.0,1,1,0.02,2000.0
LOTTERY,ESCALATED,INDUS010,Arunachal Pradesh,1,,,,22186.97,1,1,0.22,22187.0
TECH_SUPPORT,OPEN,KOTAK005,Madhya Pradesh,2,,,,7210.75,2,2,0.07,3605.0
IMPERSONATION,RESOLVED,AXIS004,Arunachal Pradesh,1,49.0,49.0,49.0,4283.28,1,1,0.04,4283.0
JOB,OPEN,INDUS010,Andhra Pradesh,1,,,,3669.26,1,1,0.04,3669.0
LOTTERY,RESOLVED,BOB007,West Bengal,2,80.5,75.0,86.0,6989.52,2,2,0.07,3495.0
JOB,ESCALATED,SBI001,Odisha,1,,,,4000.0,1,1,0.04,4000.0
LOTTERY,ESCALATED,CANARA008,Gujarat,1,,,,6000.0,1,1,0.06,6000.0
JOB,OPEN,AXIS004,Assam,1,,,,1034.46,1,1,0.01,1034.0
LEGITIMATE,RESOLVED,PNB006,Haryana,2,74.5,72.0,77.0,18185.489999999998,2,2,0.18,9093.0
LEGITIMATE,RESOLVED,BOB007,Uttar Pradesh,2,72.5,60.0,85.0,23566.28,2,2,0.24,11783.0
KYC,OPEN,KOTAK005,Bihar,1,,,,554.11,1,1,0.01,554.0
LOTTERY,OPEN,BOB007,Andhra Pradesh,1,,,,9500.0,1,1,0.1,9500.0
LEGITIMATE,OPEN,PNB006,Gujarat,5,,,,10983.939999999999,5,5,0.11,2197.0
JOB,RESOLVED,INDUS010,Maharashtra,2,37.5,21.0,54.0,4568.1900000000005,2,2,0.05,2284.0
LOTTERY,OPEN,CANARA008,Maharashtra,6,,,,101201.65,6,6,1.01,16867.0
KYC,OPEN,SBI001,Gujarat,4,,,,7895.27,4,4,0.08,1974.0
LOTTERY,OPEN,INDUS010,Delhi,3,,,,13125.3,3,3,0.13,4375.0
LOTTERY,ESCALATED,ICICI003,Punjab,1,,,,2813.07,1,1,0.03,2813.0
LEGITIMATE,OPEN,SBI001,West Bengal,1,,,,648.48,1,1,0.01,648.0
IMPERSONATION,RESOLVED,PNB006,Tamil Nadu,2,16.0,12.0,20.0,51863.44,2,2,0.52,25932.0
KYC,RESOLVED,PNB006,Himachal Pradesh,1,44.0,44.0,44.0,643.53,1,1,0.01,644.0
TECH_SUPPORT,ESCALATED,UNION009,Punjab,1,,,,2800.0,1,1,0.03,2800.0
IMPERSONATION,OPEN,INDUS010,Gujarat,5,,,,41443.95,5,5,0.41,8289.0
LEGITIMATE,OPEN,KOTAK005,Gujarat,1,,,,1770.75,1,1,0.02,1771.0
KYC,RESOLVED,BOB007,Gujarat,5,51.0,11.0,87.0,13678.73,5,5,0.14,2736.0
EMERGENCY,OPEN,CANARA008,Maharashtra,2,,,,18300.0,2,2,0.18,9150.0
LOTTERY,RESOLVED,ICICI003,Uttar Pradesh,2,58.5,52.0,65.0,6746.02,2,2,0.07,3373.0
LOTTERY,OPEN,BOB007,Rajasthan,1,,,,3100.0,1,1,0.03,3100.0
IMPERSONATION,OPEN,INDUS010,Madhya Pradesh,1,,,,3796.29,1,1,0.04,3796.0
JOB,ESCALATED,AXIS004,Gujarat,1,,,,2500.0,1,1,0.03,2500.0
LOTTERY,ESCALATED,PNB006,Andhra Pradesh,1,,,,6622.0,1,1,0.07,6622.0
KYC,ESCALATED,UNION009,Delhi,1,,,,1700.0,1,1,0.02,1700.0
KYC,OPEN,AXIS004,Karnataka,4,,,,9600.0,4,4,0.1,2400.0
INVESTMENT,ESCALATED,AXIS004,Odisha,1,,,,5000.0,1,1,0.05,5000.0
JOB,RESOLVED,AXIS004,Gujarat,2,26.0,14.0,38.0,3600.0,2,2,0.04,1800.0
LEGITIMATE,RESOLVED,KOTAK005,Kerala,1,71.0,71.0,71.0,21138.74,1,1,0.21,21139.0
LEGITIMATE,RESOLVED,AXIS004,Uttar Pradesh,3,44.333333333333336,14.0,68.0,12658.02,3,3,0.13,4219.0
TECH_SUPPORT,ESCALATED,UNION009,Karnataka,1,,,,5200.0,1,1,0.05,5200.0
IMPERSONATION,OPEN,BOB007,Telangana,2,,,,21299.59,2,2,0.21,10650.0
LEGITIMATE,OPEN,HDFC002,Telangana,3,,,,9085.529999999999,3,3,0.09,3029.0
INVESTMENT,OPEN,BOB007,Uttar Pradesh,1,,,,5000.0,1,1,0.05,5000.0
IMPERSONATION,OPEN,SBI001,Kerala,1,,,,4000.0,1,1,0.04,4000.0
TECH_SUPPORT,ESCALATED,KOTAK005,Andhra Pradesh,1,,,,500.0,1,1,0.01,500.0
IMPERSONATION,RESOLVED,ICICI003,Telangana,2,45.0,6.0,84.0,23000.0,2,2,0.23,11500.0
KYC,ESCALATED,INDUS010,Telangana,2,,,,3823.5,2,2,0.04,1912.0
JOB,OPEN,KOTAK005,Uttar Pradesh,4,,,,5531.32,3,4,0.06,1844.0
KYC,RESOLVED,UNION009,Nagaland,1,33.0,33.0,33.0,671.08,1,1,0.01,671.0
KYC,OPEN,AXIS004,West Bengal,5,,,,11408.869999999999,5,5,0.11,2282.0
EMERGENCY,OPEN,BOB007,Tamil Nadu,2,,,,19863.95,2,2,0.2,9932.0
JOB,RESOLVED,KOTAK005,Uttar Pradesh,1,69.0,69.0,69.0,1800.0,1,1,0.02,1800.0
INVESTMENT,OPEN,AXIS004,West Bengal,1,,,,52000.0,1,1,0.52,52000.0
INVESTMENT,OPEN,CANARA008,Rajasthan,1,,,,8500.0,1,1,0.09,8500.0
LEGITIMATE,OPEN,UNION009,Tamil Nadu,5,,,,13621.010000000002,5,5,0.14,2724.0
EMERGENCY,RESOLVED,SBI001,Madhya Pradesh,1,82.0,82.0,82.0,3935.16,1,1,0.04,3935.0
LEGITIMATE,OPEN,PNB006,Punjab,2,,,,6559.79,2,2,0.07,3280.0
KYC,ESCALATED,PNB006,Punjab,1,,,,833.58,1,1,0.01,834.0
LOTTERY,RESOLVED,INDUS010,Maharashtra,2,40.0,34.0,46.0,3228.8900000000003,2,2,0.03,1614.0
LOTTERY,RESOLVED,CANARA008,Gujarat,1,71.0,71.0,71.0,6554.85,1,1,0.07,6555.0
JOB,ESCALATED,UNION009,Uttar Pradesh,1,,,,2312.25,1,1,0.02,2312.0
LEGITIMATE,RESOLVED,ICICI003,Bihar,1,37.0,37.0,37.0,3010.45,1,1,0.03,3010.0
JOB,RESOLVED,INDUS010,West Bengal,1,57.0,57.0,57.0,1392.19,1,1,0.01,1392.0
LOTTERY,OPEN,INDUS010,Mizoram,1,,,,5200.0,1,1,0.05,5200.0
TECH_SUPPORT,OPEN,AXIS004,Tamil Nadu,5,,,,26077.809999999998,5,5,0.26,5216.0
TECH_SUPPORT,RESOLVED,BOB007,Maharashtra,1,51.0,51.0,51.0,3689.79,1,1,0.04,3690.0
IMPERSONATION,OPEN,KOTAK005,Haryana,3,,,,39929.479999999996,3,3,0.4,13310.0
TECH_SUPPORT,ESCALATED,CANARA008,Himachal Pradesh,1,,,,2900.0,1,1,0.03,2900.0
JOB,OPEN,AXIS004,Karnataka,1,,,,1597.34,1,1,0.02,1597.0
LEGITIMATE,RESOLVED,INDUS010,Tamil Nadu,2,63.5,39.0,88.0,7056.65,2,2,0.07,3528.0
EMERGENCY,OPEN,CANARA008,Madhya Pradesh,1,,,,4428.83,1,1,0.04,4429.0
IMPERSONATION,OPEN,BOB007,Odisha,1,,,,10500.0,1,1,0.11,10500.0
KYC,OPEN,BOB007,Odisha,1,,,,1284.01,1,1,0.01,1284.0
JOB,RESOLVED,SBI001,Delhi,1,6.0,6.0,6.0,2501.55,1,1,0.03,2502.0
INVESTMENT,OPEN,AXIS004,Kerala,1,,,,40200.0,1,1,0.4,40200.0
LEGITIMATE,OPEN,CANARA008,Andhra Pradesh,1,,,,1598.64,1,1,0.02,1599.0
LOTTERY,RESOLVED,HDFC002,Delhi,1,38.0,38.0,38.0,8934.79,1,1,0.09,8935.0
LEGITIMATE,ESCALATED,PNB006,Karnataka,2,,,,38054.54,2,2,0.38,19027.0
LEGITIMATE,RESOLVED,AXIS004,Meghalaya,1,48.0,48.0,48.0,3090.79,1,1,0.03,3091.0
LEGITIMATE,ESCALATED,ICICI003,Madhya Pradesh,1,,,,13880.25,1,1,0.14,13880.0
LEGITIMATE,ESCALATED,UNION009,Odisha,1,,,,2113.37,1,1,0.02,2113.0
